utc_time,hash_uri,country,platform,channel,is_buyer
2018-08-09 00:00:04,17f6965d9ce3c92ccf95b739046c28b0,United States,Windows,Direct,0
2018-08-09 00:00:04,53ef61cbc4781542540ae609a6c748c6,United States,Mac,Direct,1
2018-08-09 00:00:22,cab71ea19b064413784b171200fbce70,United States,Chrome OS,Direct,0
2018-08-09 00:01:05,913c8d371ff4db47fc3f26f724e390d8,United States,iOS,Direct,1
2018-08-09 00:01:10,b2a95dc23f88bad2b20c5dd424ebcd4b,United States,Windows,Direct,1
2018-08-09 00:01:16,8fd4015b4cb098ccd4d58d26691ab192,Mexico,iOS,Direct,0
2018-08-09 00:01:43,755ea2a2a36667f8f5d8d44bc80a401c,United States,Linux,Direct,0
2018-08-09 00:03:14,93665edecbb43a2c17777f64b4339c74,United States,Windows,Direct,1
2018-08-09 00:03:23,130409c02203abd477b4025876f21efc,United States,Android,Direct,0
2018-08-09 00:03:31,850fbd1f5d7930fa29b5d9238c987e91,United States,Mac,Direct,1
2018-08-09 00:03:38,90efab1fe6e411601e1abb188d08d16b,United States,Mac,Direct,0
2018-08-09 00:03:49,994359af0586eb44b1be4d8cbd117abe,United States,Mac,Direct,0
2018-08-09 00:03:49,613f65a4defe7983152b032066485a7b,United States,Mac,Direct,0
2018-08-09 00:03:51,dbcf5834deb5c67933ed6069f4e924a3,United States,Mac,Direct,1
2018-08-09 00:04:06,994359af0586eb44b1be4d8cbd117abe,United States,Mac,Direct,0
2018-08-09 00:04:12,dbcf5834deb5c67933ed6069f4e924a3,United States,Mac,Direct,0
2018-08-09 00:04:14,afb7ce92e1cd4b4cba3355407b883d37,United States,Windows,Direct,1
2018-08-09 00:04:22,b30d775bd0da866b909ecb3d8a98f557,United States,Android,Direct,0
2018-08-09 00:04:38,613f65a4defe7983152b032066485a7b,United States,Linux,Direct,0
2018-08-09 00:04:52,6482dcaa1449c2942b43131a330d6cf4,United States,Mac,Direct,0
2018-08-09 00:04:56,b682a46808255b4d86a663d3cb25fee6,United States,Mac,Direct,0
2018-08-09 00:05:15,994359af0586eb44b1be4d8cbd117abe,United States,Mac,Direct,0
2018-08-09 00:05:44,fea36fa9cddda8a757fa68581d130e7a,United States,iOS,Direct,0
2018-08-09 00:05:46,556365f9c7b8bcd3164f124f11e342ee,United States,Windows,Direct,0
2018-08-09 00:05:54,7b3a21a33973a2a21dea68b8629a4cf7,Canada,Windows,Direct,1
2018-08-09 00:05:54,913c8d371ff4db47fc3f26f724e390d8,United States,Windows,Direct,0
2018-08-09 00:06:30,787f2951bac04a20294a32faf719101b,United States,iOS,Direct,0
2018-08-09 00:06:31,787f2951bac04a20294a32faf719101b,United States,iOS,Direct,0
2018-08-09 00:06:36,613f65a4defe7983152b032066485a7b,United States,Linux,Direct,0
2018-08-09 00:06:52,613f65a4defe7983152b032066485a7b,United States,Mac,Direct,0
2018-08-09 00:06:56,913c8d371ff4db47fc3f26f724e390d8,United States,Windows,Direct,0
2018-08-09 00:07:48,e1e9fc00dbe4d95962c7db80095fa9ca,United States,Linux,Direct,0
2018-08-09 00:08:10,f260a376efa5b846ba68475cee813479,United States,iOS,Direct,1
2018-08-09 00:08:15,2520386ec60d873df207df77538f8a4c,United States,Mac,Direct,0
2018-08-09 00:08:23,7a5ade000d3414aaae233156778e9398,United States,iOS,Direct,0
2018-08-09 00:08:24,538fc5a828c50123d9648cb597a87862,United States,Android,Direct,0
2018-08-09 00:08:48,bd54f9ec0f0cdb9394eedd19f43a6bc6,United States,iOS,Direct,0
2018-08-09 00:09:06,1c86379ec9f25b72b745f18635a281f6,United States,Windows,Direct,0
2018-08-09 00:09:15,2e04304721463b410320f42cc8c07d02,United States,iOS,Direct,0
2018-08-09 00:10:10,0c15b7929568e564e357aabf04df3b0f,United States,Windows,Direct,0
2018-08-09 00:10:17,7c7b731244071b9328b4f9b8718a72d5,United States,iOS,Direct,0
2018-08-09 00:10:21,2e04304721463b410320f42cc8c07d02,United States,Android,Direct,0
2018-08-09 00:10:36,ea1635ac03abe6b48a937dca91ee6a00,Australia,Windows,Direct,0
2018-08-09 00:10:40,d4b9958f21b74d52f3df5a1015c6deb5,United States,Windows,Direct,0
2018-08-09 00:10:47,b30d775bd0da866b909ecb3d8a98f557,United States,iOS,Direct,0
2018-08-09 00:11:01,b30d775bd0da866b909ecb3d8a98f557,United States,iOS,Direct,0
2018-08-09 00:11:33,2e04304721463b410320f42cc8c07d02,United States,iOS,Direct,0
2018-08-09 00:11:41,130409c02203abd477b4025876f21efc,United States,Windows,Direct,1
2018-08-09 00:11:42,7c7b731244071b9328b4f9b8718a72d5,United States,Windows,Direct,0
2018-08-09 00:11:45,b62b0387d095e4e75f7015175bb1edc0,United States,Windows,Direct,1
2018-08-09 00:11:51,c3dcbecc3dc8997e0ccb5a6e974c1c3e,United States,iOS,Direct,0
2018-08-09 00:12:00,4c8359ba626712696a8c532a44510233,United States,Windows,Direct,0
2018-08-09 00:12:02,74e708ae946785a5f0b52f7c5941f5a8,United States,Windows,Direct,1
2018-08-09 00:12:07,5851194af2654fe050c5e0cce34b731c,United States,Linux,Direct,0
2018-08-09 00:12:31,613f65a4defe7983152b032066485a7b,United States,Windows,Direct,0
2018-08-09 00:12:40,c32b2eb712baf2dd4f1e8e9d7332b905,United States,iOS,Direct,0
2018-08-09 00:12:44,6dd1ae9ff993bb0d9ffbbb342a4a1c81,United States,iOS,Direct,1
2018-08-09 00:12:58,7b3a21a33973a2a21dea68b8629a4cf7,United States,Windows,Direct,0
2018-08-09 00:13:01,5aebf912408685d60b49e90fc8c53343,Australia,Android,Direct,1
2018-08-09 00:13:16,8a875e2f03e6ebc765f26dac3c5d627e,United States,iOS,Direct,1
2018-08-09 00:13:22,9e4d0a059d7f4d95128f0d95830fc89e,United States,Windows,Direct,0
2018-08-09 00:13:27,2b7a1f6b461a24627ac6e75625bdfabf,United States,Windows,Direct,0
2018-08-09 00:13:33,0c15b7929568e564e357aabf04df3b0f,United States,Windows,Direct,0
2018-08-09 00:14:08,74e708ae946785a5f0b52f7c5941f5a8,United States,Windows,Direct,0
2018-08-09 00:14:17,4c8359ba626712696a8c532a44510233,United States,Windows,Direct,0
2018-08-09 00:14:24,b62b0387d095e4e75f7015175bb1edc0,United States,Windows,Direct,1
2018-08-09 00:15:00,10a3722c3d0a9b62740d2348b5280213,United States,iOS,Direct,0
